,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
279,-1.072,1.039,1.837,-1.911,0.007015,-0.653,-2.05,-0.03653
280,1.77,0.4622,-1.753,0.7705,-0.2957,0.5566,0.4863,-1.162
281,-0.2472,0.3425,0.3223,0.481,-0.4685,-0.1412,0.4863,-1.162
283,-1.164,-0.8,0.8164,1.074,1.088,-1.548,-2.05,-1.162
284,-0.3389,1.333,0.1576,-0.5625,-0.4685,-0.065,0.4863,1.089
285,0.2112,0.02693,0.8164,-1.911,-0.382,-0.274,0.4863,1.089
286,-0.2472,0.1085,-1.094,0.812,-0.4685,-0.3333,0.4863,-1.162
288,-1.072,-1.316,0.3223,0.3064,-0.555,-0.2487,-2.05,-0.03653
289,0.4863,0.1031,-1.127,0.8267,0.7417,-0.3079,0.4863,-1.162
290,-0.4307,0.756,-0.3694,0.685,0.569,0.955,0.4863,1.089
291,-1.164,-0.882,0.2893,0.9165,1.088,0.1412,0.4863,-1.162
292,-1.164,-0.789,0.586,-0.508,1.952,-0.3616,-2.05,-1.162
293,-0.06384,0.2935,0.02585,0.433,-0.4685,-0.05087,0.4863,-1.162
294,-1.072,0.065,1.047,-1.911,-1.03,-0.13,0.4863,-0.03653
295,-0.4307,0.1521,0.981,-1.009,0.7417,1.065,0.4863,1.089
296,-1.072,-0.6475,-0.4353,0.07745,-0.4685,0.002817,0.4863,-0.03653
297,0.2112,-1.143,0.7505,0.491,-0.4685,-0.7485,0.4863,1.089
298,0.11957,0.881,0.3882,0.2429,-0.555,0.647,0.4863,-1.162
299,1.128,0.816,0.3882,0.7686,1.088,0.1752,0.4863,-1.162
300,-0.4307,-0.4355,-0.3035,0.3503,0.569,0.178,0.4863,1.089
301,0.853,0.02148,-1.456,0.776,-0.2957,0.2429,0.4863,-1.162
302,1.22,1.441,0.8164,-1.204,-0.4685,2.125,0.4863,-1.162
303,1.953,-0.501,0.3552,-0.5586,0.569,-0.2515,0.4863,-1.162
304,0.4863,0.1031,-1.16,0.808,0.7417,-0.291,0.4863,-1.162
305,-0.3389,0.277,-0.1059,0.8047,-1.073,-0.9604,0.4863,1.089
306,-0.2472,-0.03293,-0.1388,-1.811,1.952,1.599,-2.05,-1.162
307,-0.7056,-1.126,-0.7314,-1.878,1.779,1.015,-2.05,-1.162
308,0.578,-0.947,-1.423,1.135,-0.728,-0.5,0.4863,-1.162
309,2.137,1.566,0.981,-1.07,-1.03,2.455,0.4863,1.089
310,-0.4307,-0.0438,-1.885,1.253,-0.2957,0.2345,-2.05,1.089
311,-1.072,-0.0819,-0.8633,0.954,0.3096,1.737,-2.05,-0.03653
312,0.761,-0.86,-1.522,1.446,-0.4685,-0.63,0.4863,1.089
313,-1.072,0.2173,1.376,-1.536,-0.4685,-8.34e-06,0.4863,-0.03653
314,1.953,0.03238,-1.588,0.2024,-0.4685,1.636,0.4863,-1.162
315,-0.2472,0.397,0.6514,0.276,-0.4685,-0.3164,0.4863,-1.162
316,0.3945,-0.7944,-1.127,1.115,-1.073,-0.5425,0.4863,1.089
317,0.853,1.338,0.2235,-0.6265,-0.4685,0.002817,0.4863,-1.162
318,-1.072,-0.9414,-0.8965,0.319,-0.382,0.5903,0.4863,-0.03653
319,-1.072,0.7344,-0.2377,0.1381,0.2664,0.6216,0.4863,-0.03653
320,2.596,-1.823,-0.501,0.8945,-0.2957,-0.5254,0.4863,-1.162
321,0.853,0.5166,-1.423,0.6226,-0.2957,0.6836,0.4863,-1.162
322,-0.4307,0.484,1.179,0.2493,-0.4685,0.2091,0.4863,1.089
323,0.303,0.1956,1.277,-1.082,-1.073,2.133,0.4863,-1.162
324,1.678,-1.534,0.586,1.246,1.261,-1.867,-2.05,-1.162
325,-1.072,-1.404,-0.7974,1.208,0.2231,0.288,0.4863,-0.03653
326,-1.072,-0.1581,0.454,0.4763,0.09344,-1.237,0.4863,-0.03653
327,-0.06384,0.3098,-1.654,0.2153,0.05023,-0.4321,0.4863,-1.162
328,1.22,-0.04922,-1.917,0.957,-0.2957,0.3108,0.4863,-1.162
